,logFC,logCPM,PValue,FDR
hsa-miR-144-5p,-4.103814029,5.248349518,6.85E-07,0.001565937
hsa-miR-29b-2-5p,1.720012357,7.167346204,9.70E-06,0.011091113
hsa-miR-376c-3p,-1.628215436,6.825052038,0.000141107,0.090285591
hsa-miR-200c-3p,-2.191718175,8.66358066,0.000203176,0.090285591
hsa-miR-200b-3p,-2.161462761,8.255142164,0.000212148,0.090285591
hsa-miR-144-3p,-2.584339573,6.16488213,0.00023697,0.090285591
hsa-miR-142-3p,-2.098805609,8.393622077,0.000304657,0.099492185
hsa-miR-200a-3p,-2.151437785,8.152491598,0.000764877,0.217265891
hsa-miR-379-5p,-1.67938538,10.05229916,0.000889652,0.217265891
hsa-miR-323a-3p,-1.560006724,7.48352145,0.001026907,0.217265891
hsa-miR-134-5p,-1.605483011,10.22180368,0.001045461,0.217265891
hsa-miR-4632-3p,-1.165358567,6.766124711,0.002328303,0.443541753
hsa-miR-34c-5p,-1.119375351,5.570192063,0.002902634,0.449956651
hsa-miR-409-3p,-1.419487993,9.650092364,0.00294101,0.449956651
hsa-miR-4729,-1.579535867,7.040197602,0.00315692,0.449956651
hsa-miR-654-3p,-1.30005867,8.012750859,0.003266349,0.449956651
hsa-miR-182-5p,-1.469027135,7.739821394,0.003908673,0.449956651
hsa-miR-141-3p,-2.11380517,9.116053413,0.003917335,0.449956651
hsa-miR-7856-5p,1.440081912,6.53318423,0.004022483,0.449956651
hsa-miR-132-3p,-1.177194537,10.2159945,0.004040389,0.449956651
hsa-miR-6884-5p,0.984927927,7.098035566,0.00413346,0.449956651
hsa-miR-7976,-2.494887524,4.856636417,0.004579682,0.475870605
hsa-miR-6748-3p,2.237622799,6.559935739,0.004841879,0.481240716
hsa-miR-6878-5p,1.150990826,5.675488291,0.006391801,0.565478593
hsa-miR-195-5p,-1.320459388,10.51380611,0.006676122,0.565478593
hsa-miR-10a-5p,-0.93352326,9.112006312,0.006991106,0.565478593
hsa-miR-132-5p,-1.102494237,7.97214453,0.007049285,0.565478593
hsa-miR-31-5p,-1.129502323,8.118428496,0.00761593,0.565478593
hsa-miR-6856-5p,1.057454853,5.70278894,0.007979528,0.565478593
hsa-miR-551b-5p,1.664167372,5.820703018,0.008029723,0.565478593
hsa-miR-3925-5p,1.043532674,5.541843533,0.008462143,0.565478593
hsa-miR-4426,0.948151218,5.58688791,0.008570173,0.565478593
hsa-miR-183-5p,-1.248330861,7.044367614,0.008575752,0.565478593
hsa-miR-146b-5p,-1.17152798,9.120435128,0.008594525,0.565478593
hsa-miR-4776-5p,-1.29224594,5.292366654,0.008895161,0.565478593
hsa-miR-127-3p,-1.336742898,10.56489978,0.008905175,0.565478593
hsa-miR-766-3p,1.495538383,7.616960629,0.009622714,0.594527707
hsa-miR-6875-5p,1.470271595,8.787883882,0.010105688,0.600804309
hsa-miR-323b-3p,-1.226521168,7.097920796,0.010249942,0.600804309
