,logFC,logCPM,PValue,FDR
hsa-miR-29b-2-5p,1.73005822858306,7.17531212967102,8.97146179881222e-06,0.0181492672189971
hsa-miR-376c-3p,-1.61788682458613,6.83009912243069,0.000139826224580373,0.105309168246834
hsa-miR-200c-3p,-2.17773068706206,8.66431476319882,0.000194739056171539,0.105309168246834
hsa-miR-200b-3p,-2.14881437749002,8.25750788146963,0.000208223763216677,0.105309168246834
hsa-miR-142-3p,-2.09080857980454,8.39796219064256,0.000306200150306999,0.123888580814212
hsa-miR-200a-3p,-2.13832262852488,8.15460926767419,0.000748642880453984,0.252417424526402
hsa-miR-379-5p,-1.66982921349828,10.0573271492527,0.000962595455765743,0.257970044561995
hsa-miR-323a-3p,-1.54737560179056,7.48892804101973,0.00112909745056725,0.257970044561995
hsa-miR-134-5p,-1.59276009077242,10.2256696529606,0.00117046188208219,0.257970044561995
hsa-miR-7976,-2.47584912733794,4.86260107200634,0.00127518558854174,0.257970044561995
hsa-miR-4632-3p,-1.15065105017989,6.76998922104576,0.00232385676021787,0.425238902571403
hsa-miR-34c-5p,-1.10683104945548,5.57332905052405,0.00300909181235632,0.425238902571403
hsa-miR-409-3p,-1.40888260407239,9.65554942790502,0.00319503023114607,0.425238902571403
hsa-miR-4729,-1.56683069533703,7.0429770365803,0.0033008975877423,0.425238902571403
hsa-miR-654-3p,-1.29055821350534,8.01764099306601,0.00350832156793338,0.425238902571403
hsa-miR-7856-5p,1.45116160073183,6.54246209043922,0.00352290974650099,0.425238902571403
hsa-miR-141-3p,-2.09937702254754,9.11615031391885,0.00374168841985904,0.425238902571403
hsa-miR-544b,1.36649726151451,4.66146296986888,0.00401335823962065,0.425238902571403
hsa-miR-182-5p,-1.45642073744281,7.74444659866022,0.00407970637753861,0.425238902571403
hsa-miR-6748-3p,2.25804854803674,6.57620630207696,0.00420552183717728,0.425238902571403
hsa-miR-6884-5p,0.995981125787807,7.10572088399628,0.00441424466337096,0.425238902571403
hsa-miR-132-3p,-1.1652073206152,10.2206295538596,0.00479262193308487,0.440703371392304
hsa-miR-4742-3p,-1.84563096100307,4.5604823623883,0.00509455844271419,0.448099640417861
hsa-miR-6878-5p,1.16254472654147,5.6821909700404,0.00563842425357284,0.475272177707411
hsa-miR-551b-5p,1.6818200730993,5.83310004902363,0.00700849178158176,0.485106203710243
hsa-miR-6856-5p,1.07099371207251,5.71057473655321,0.00717154838453275,0.485106203710243
hsa-miR-195-5p,-1.30921767636516,10.5171075206871,0.00717751201182379,0.485106203710243
hsa-miR-4426,0.961113246265875,5.59065933085709,0.00721781952634208,0.485106203710243
hsa-miR-5571-3p,1.98621332073518,4.26440719318489,0.00731819365255832,0.485106203710243
hsa-miR-3925-5p,1.05591773288378,5.54897154534537,0.00766713240261626,0.485106203710243
hsa-miR-10a-5p,-0.920428805316446,9.11604446872608,0.00792244154090907,0.485106203710243
hsa-miR-132-5p,-1.09255954436183,7.97731704358393,0.00812427374173075,0.485106203710243
hsa-miR-31-5p,-1.11946636089757,8.12272636991434,0.00813625804282897,0.485106203710243
hsa-miR-4776-5p,-1.27853009094976,5.29503015125622,0.00816654644067343,0.485106203710243
hsa-miR-766-3p,1.51298673559838,7.62925468689783,0.00859437970482296,0.485106203710243
hsa-miR-183-5p,-1.23589473292826,7.04969987168382,0.00894479955703252,0.485106203710243
hsa-miR-146b-5p,-1.16096045517875,9.12511789603537,0.00901080061296855,0.485106203710243
hsa-miR-6875-5p,1.47911941319444,8.797732133568,0.00939802434790591,0.485106203710243
hsa-miR-376b-3p,-2.47891472082821,4.96984271319186,0.00943446123746828,0.485106203710243
hsa-miR-127-3p,-1.32647630982512,10.570231030064,0.00959181816530386,0.485106203710243
hsa-miR-1825,1.11418148314775,5.04811584745773,0.0102106794595505,0.50380986699197
hsa-miR-196a-5p,-1.81742726876784,6.94138105934076,0.0108938280914922,0.516781744702241
hsa-miR-323b-3p,-1.21429677209439,7.10366332932729,0.0109844859229839,0.516781744702241
hsa-miR-208b-5p,0.992797651290996,4.9661275312953,0.0112780324897029,0.518533175606114
hsa-miR-509-3-5p,1.07629886874136,6.86271228128955,0.0116884727465582,0.521843727338921
hsa-miR-451a,-2.36927305463381,9.66509855226314,0.011865947334449,0.521843727338921
hsa-miR-7515,-1.5577707704466,4.14110926526876,0.012200172864136,0.525126589449941
hsa-miR-4773,-1.6741576145429,4.45418845273229,0.0125193002467182,0.527636341648143
hsa-miR-2115-3p,1.82041934449789,5.75983293251596,0.0130318603674832,0.538029663743233
hsa-miR-411-5p,-1.24552298292517,8.37980581663821,0.0137096163244839,0.5492600328977
hsa-miR-196b-5p,-1.01450581992579,7.09951867240499,0.0139043869374909,0.5492600328977
hsa-miR-4755-5p,-0.965130456743312,5.31676173703554,0.0141312758911183,0.5492600328977
hsa-miR-4698,-0.916279941390835,5.08722896067345,0.0143899069419565,0.5492600328977
hsa-miR-7974,1.23685746197103,4.64297128767485,0.0151777761104389,0.568604464285518
hsa-miR-370-3p,-1.33273902482452,8.49604695742424,0.0159637059800802,0.579634887558241
hsa-miR-382-3p,-0.958120055363231,6.67890672560169,0.0160452564029963,0.579634887558241
hsa-miR-4497,-0.836571919060894,6.24185250958652,0.0174813945971272,0.620436162631373
hsa-miR-215-5p,0.966935462544054,6.18224210562107,0.0178250502566779,0.621725459814817
hsa-miR-4477b,-1.49750773088964,4.03323051517716,0.0182930018257323,0.627232927007738
hsa-miR-381-3p,-1.09653747867131,7.75046599145967,0.0189400411354466,0.638595053616808
hsa-miR-4522,-0.882762392416371,5.42929471108602,0.0197516752170192,0.64497615038334
hsa-miR-369-5p,-0.945650866815105,7.10069492528549,0.0197669408421983,0.64497615038334
hsa-miR-4781-5p,-0.952785081091954,4.99759320151987,0.0202219862479064,0.649350447293883
hsa-miR-4669,-1.36176839949299,6.04062127311716,0.0216773054430551,0.659929501138851
hsa-miR-376a-3p,-1.19181415371747,6.07822972553716,0.0216947145503343,0.659929501138851
hsa-miR-5698,1.52177997669537,5.71874945493273,0.0217563059235781,0.659929501138851
hsa-miR-223-3p,-1.83781248501378,9.68115206095075,0.0218562909423149,0.659929501138851
hsa-miR-193a-3p,0.801949739534024,5.2746991028456,0.0229031203529163,0.68136783049926
hsa-miR-1255b-5p,-1.48951848040475,4.08741413556666,0.0237083920481678,0.695102566861498
hsa-miR-5089-5p,1.11222790182929,4.98532497189031,0.0246725843475514,0.709859433189587
hsa-miR-18a-5p,-1.47525245089905,6.16289000735265,0.0250054614552078,0.709859433189587
hsa-miR-6499-5p,0.851915205182173,5.89766116586011,0.0253905638288495,0.709859433189587
hsa-miR-622,-1.15023471221641,5.29798013166091,0.0256152934368956,0.709859433189587
hsa-miR-490-3p,0.821268324482047,6.94279365592832,0.026709339203194,0.730175583892723
hsa-miR-205-5p,-2.09476179257578,10.4988513150735,0.0283670228017975,0.750960679468581
hsa-miR-4475,-1.43018161175944,4.27102464252219,0.0289815954937441,0.750960679468581
hsa-miR-3147,-0.846005889704953,8.39448610082322,0.02976953989133,0.750960679468581
hsa-miR-380-3p,1.80333307774598,4.65896015167333,0.0299736713093931,0.750960679468581
hsa-miR-7154-5p,1.23278271181527,5.86620664018595,0.0300338985612512,0.750960679468581
hsa-miR-31-3p,0.855394171698985,7.60241826489398,0.0301592370880864,0.750960679468581
hsa-miR-662,-0.912454785183298,6.38755399958158,0.0310011781445509,0.750960679468581
hsa-miR-382-5p,-1.17547494674026,11.0563039258124,0.0310725499532674,0.750960679468581
hsa-miR-6793-5p,-1.37759745508276,6.8389768826453,0.0313680557871781,0.750960679468581
hsa-miR-500a-3p,-0.801525685008615,5.6939181237047,0.0314417891186323,0.750960679468581
hsa-miR-4268,-0.807249880151788,7.52896067030384,0.0315529697255706,0.750960679468581
hsa-miR-432-5p,-0.913363763060882,10.0145566005406,0.0331369155131524,0.752375114677821
hsa-miR-1273h-5p,0.988589534111868,5.10723700059103,0.033405716859629,0.752375114677821
hsa-miR-628-5p,-1.5090141252756,4.35880686510781,0.03379783873408,0.752375114677821
hsa-miR-889-5p,0.690159366578485,5.92996179722636,0.034007975538948,0.752375114677821
hsa-miR-431-5p,-0.80593952910966,7.33991923064289,0.0342256541553278,0.752375114677821
hsa-miR-4738-5p,-1.1805626151011,7.12724948204795,0.0345323676095106,0.752375114677821
